title,Release_date,Running_time,Country,Box office,Directed by,Produced by,Written by,imdb,metascore,rotten_tomatoes,Awards
Tarzan,1999-06-12,88,United States,"$171,091,819","['Kevin Lima', 'Chris Buck']",Bonnie Arnold,,7.3,79,89%,Won 1 Oscar. Another 10 wins & 23 nominations.
Inspector Gadget,1999-07-23,78,United States,"$97,403,112",David Kellogg,"['Roger Birnbaum', 'Andy Heyward', 'Jordan Kerner']",,4.2,36,21%,1 win & 13 nominations.
The Straight Story,1999-05-01,112,,"$6,203,044",David Lynch,"['Produced by', 'Mary Sweeney', 'Neal Edelstein', 'Alain Sarde']","['Written by', 'John Roach', 'Mary Sweeney']",8.0,86,95%,Nominated for 1 Oscar. Another 18 wins & 39 nominations.
Toy Story 2,1999-11-13,92,United States,"$245,852,179",John Lasseter,"['Helene Plotkin', 'Karen Robert Jackson']",,7.9,88,100%,Nominated for 1 Oscar. Another 21 wins & 26 nominations.
Fantasia 2000,1999-12-17,74,United States,"$60,655,420","['Don Hahn', 'Pixote Hunt', 'Hendel Butoy', 'Eric Goldberg', 'James Algar', 'Francis Glebas', 'Paul and Gaëtan Brizzi']",Donald W. Ernst,"['Don Hahn', 'Irene Mecchi', 'David Reynolds', 'Kirk Hanson', 'Kelvin Yasuda', 'James Fujii', 'Francis Glebas', 'Brenda Chapman', 'Christopher Sanders', 'Eric Goldberg', 'James Capobianco', 'Ron Muerin', 'Joe Grant', 'Dick Huemer', 'Perce Pearce', 'Carl Fallberg', 'Robert Gibbs', 'Terry Naughton', 'Todd Kurosawa', 'Pat Ventura', 'Don Dougherty', 'Stevie Wermers', 'Paul and Gaëtan Brizzi']",7.2,59,81%,4 wins & 7 nominations.
The Tigger Movie,2000-02-11,78,,"$45,554,533",Jun Falkenstein,Cheryl Abood,,6.3,53,62%,4 nominations.
Dinosaur,2000-05-19,82,United States,"$137,748,063","['Ralph Zondag', 'Eric Leighton']",Pam Marsden,,6.5,56,64%,4 wins & 21 nominations.
The Kid,2000-07-07,104,United States,N/A,Jon Turteltaub,"['Hunt Lowry', 'Christina Steinberg', 'Jon Turteltaub']",Audrey Wells,8.3,N/A,100%,2 wins.
Remember The Titans,2000-09-29,113,United States,"$115,719,751",Boaz Yakin,"['Produced by', 'Jerry Bruckheimer', 'Chad Oman']",Gregory Allen Howard,7.8,48,73%,8 wins & 18 nominations.
102 Dalmatians,2000-11-22,100,United States,"$66,957,026",Kevin Lima,Edward S. Feldman,,4.9,35,31%,Nominated for 1 Oscar. Another 1 win & 7 nominations.
The Emperor's New Groove,2000-12-15,78,United States,"$89,636,687",Mark Dindal,Randy Fullmer,,7.4,70,85%,Nominated for 1 Oscar. Another 7 wins & 26 nominations.
Recess: School's Out,2001-02-10,83,United States,"$36,706,141",Chuck Sheetz,"['Joe Ansolabehere', 'Paul Germain', 'Toshio Suzuki', 'Stephen Swofford']",,6.6,43,60%,N/A
Atlantis: The Lost Empire,2001-06-03,96,United States,"$84,056,472","['Gary Trousdale', 'Kirk Wise']",Don Hahn,,6.9,52,49%,2 wins & 14 nominations.
The Princess Diaries,2001-08-03,115,United States,"$108,248,956",Garry Marshall,"['Whitney Houston', 'Debra Martin Chase', 'Mario Iscovich']",,6.3,52,48%,3 wins & 11 nominations.
Max Keeble's Big Move,2001-10-05,86,United States,"$17,294,293",Tim Hill,Mike Karz,,5.4,40,29%,1 win & 1 nomination.
